,T2M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
1984-02-22,6.11,4.12,0.93
1984-02-23,7.92,4.94,1.11
1984-02-24,7.97,3.05,1.48
1984-02-25,3.64,4.93,0.55
1984-02-26,4.32,4.38,1.32
1984-02-27,6.41,0.8,22.37
1984-02-28,-2.07,1.61,3.27
1984-02-29,-2.6,3.41,0.07
1984-03-01,-0.26,5.21,0.0
1984-03-02,4.32,4.94,0.0
1984-03-03,4.53,5.18,0.02
1984-03-04,9.46,3.76,6.54
1984-03-05,8.11,1.05,19.04
1984-03-06,0.98,2.87,0.67
1984-03-07,0.82,5.41,0.33
1984-03-08,0.88,5.38,0.1
1984-03-09,-2.85,5.18,0.0
1984-03-10,0.63,2.63,0.03
1984-03-11,1.45,4.49,0.5
1984-03-12,4.29,1.12,7.78
1984-03-13,8.69,3.12,2.71
1984-03-14,8.35,4.5,0.51
1984-03-15,15.0,4.49,5.4
1984-03-16,12.72,2.26,14.3
1984-03-17,11.42,1.33,1.58
1984-03-18,10.65,2.26,0.98
1984-03-19,14.35,4.32,2.29
1984-03-20,9.68,1.71,26.89
1984-03-21,3.74,2.29,2.39
1984-03-22,6.31,5.9,0.01
1984-03-23,6.4,6.33,0.0
1984-03-24,12.02,1.39,2.29
1984-03-25,8.28,3.46,4.85
1984-03-26,7.94,6.07,0.72
1984-03-27,13.67,2.94,12.68
1984-03-28,13.81,1.93,40.73
1984-03-29,6.15,4.31,0.48
1984-03-30,5.56,6.74,0.0
1984-03-31,4.69,5.31,0.05
1984-04-01,6.01,6.52,0.0
1984-04-02,10.17,5.64,4.11
1984-04-03,14.41,3.13,15.03
1984-04-04,11.91,5.65,7.09
1984-04-05,8.13,2.98,1.05
1984-04-06,9.38,6.86,0.0
1984-04-07,9.7,5.27,0.07
1984-04-08,12.25,2.13,0.18
1984-04-09,12.53,2.7,6.81
1984-04-10,12.78,2.47,0.14
1984-04-11,13.99,6.26,0.01
1984-04-12,14.97,1.12,0.65
1984-04-13,15.09,6.46,0.28
1984-04-14,12.34,3.2,0.12
1984-04-15,9.6,1.87,2.5
1984-04-16,9.04,0.9,4.24
1984-04-17,8.54,2.76,0.68
1984-04-18,9.9,3.88,0.01
1984-04-19,10.41,5.28,1.94
1984-04-20,10.07,4.53,3.77
1984-04-21,17.44,1.57,30.5
1984-04-22,17.16,2.94,25.03
1984-04-23,9.58,1.47,0.75
1984-04-24,11.5,6.47,0.02
1984-04-25,17.15,7.31,0.76
1984-04-26,18.67,5.24,3.11
1984-04-27,21.65,4.41,7.57
1984-04-28,20.45,7.27,22.71
1984-04-29,20.82,1.82,7.84
1984-04-30,15.97,6.98,16.54
1984-05-01,14.32,6.78,0.03
1984-05-02,16.87,3.54,33.23
1984-05-03,17.73,3.12,34.13
1984-05-04,13.55,2.76,1.53
1984-05-05,14.22,2.03,17.55
1984-05-06,21.21,1.73,61.26
1984-05-07,23.04,1.42,30.95
1984-05-08,12.81,7.17,31.68
1984-05-09,11.1,7.48,0.06
1984-05-10,14.73,7.48,0.23
1984-05-11,18.26,7.15,0.0
1984-05-12,19.0,5.62,0.72
1984-05-13,20.22,3.33,2.37
1984-05-14,18.28,7.51,0.11
1984-05-15,13.28,7.66,0.0
1984-05-16,12.79,7.93,0.0
1984-05-17,14.05,7.78,0.0
1984-05-18,17.76,7.59,0.0
1984-05-19,19.67,6.73,0.01
1984-05-20,20.69,6.31,0.54
1984-05-21,21.63,3.86,1.28
1984-05-22,21.38,5.35,13.19
1984-05-23,19.28,5.93,5.56
1984-05-24,18.7,7.8,0.0
1984-05-25,22.02,6.75,1.33
1984-05-26,21.05,4.08,8.41
1984-05-27,20.44,5.45,7.62
1984-05-28,20.93,4.0,2.56
1984-05-29,11.43,2.64,0.03
1984-05-30,11.67,8.11,0.0
1984-05-31,15.01,8.07,0.0
1984-06-01,17.7,7.6,0.01
1984-06-02,19.95,7.51,0.0
1984-06-03,21.95,7.46,0.0
1984-06-04,23.24,7.42,0.0
1984-06-05,22.99,7.64,0.0
1984-06-06,23.13,5.62,0.0
1984-06-07,23.93,5.44,0.0
1984-06-08,24.46,6.13,0.0
1984-06-09,23.55,7.09,0.0
1984-06-10,25.01,6.95,0.0
1984-06-11,26.01,6.39,2.66
1984-06-12,25.42,6.38,2.42
1984-06-13,24.55,6.67,3.37
1984-06-14,25.42,5.5,2.88
1984-06-15,26.06,5.69,0.92
1984-06-16,25.55,6.35,0.04
1984-06-17,25.38,6.79,0.13
1984-06-18,25.4,6.9,5.33
1984-06-19,25.62,6.64,8.79
1984-06-20,27.1,6.3,10.23
1984-06-21,24.31,2.47,7.14
1984-06-22,25.23,7.04,11.81
1984-06-23,24.51,3.26,3.1
1984-06-24,23.7,6.83,1.24
1984-06-25,21.18,8.11,0.0
1984-06-26,22.75,5.62,0.0
1984-06-27,24.29,7.19,0.01
1984-06-28,24.16,6.24,3.84
1984-06-29,22.64,4.8,4.69
1984-06-30,20.85,5.35,2.44
1984-07-01,21.74,6.35,1.48
1984-07-02,22.84,5.44,0.9
1984-07-03,24.4,6.84,0.58
1984-07-04,24.82,5.22,13.43
1984-07-05,25.03,5.72,10.08
1984-07-06,25.29,6.64,6.86
1984-07-07,22.68,5.13,1.84
1984-07-08,20.89,6.32,0.0
1984-07-09,23.82,6.86,0.0
1984-07-10,26.12,6.93,1.25
1984-07-11,27.24,6.4,8.8
1984-07-12,25.24,4.59,4.72
1984-07-13,25.05,6.01,0.07
1984-07-14,26.02,5.31,0.73
1984-07-15,26.11,6.07,24.54
1984-07-16,24.58,4.91,17.21
1984-07-17,23.35,5.38,15.12
1984-07-18,21.63,5.68,1.64
1984-07-19,21.92,6.16,0.0
1984-07-20,23.16,5.94,0.05
1984-07-21,24.5,5.61,0.37
1984-07-22,23.49,6.48,1.1
1984-07-23,23.74,6.03,0.3
1984-07-24,26.54,5.26,0.42
1984-07-25,27.77,5.26,2.97
1984-07-26,26.32,6.48,24.25
1984-07-27,22.44,5.06,4.46
1984-07-28,21.46,5.07,1.16
1984-07-29,21.32,2.35,6.65
1984-07-30,19.96,3.0,23.52
1984-07-31,21.61,3.15,4.17
1984-08-01,22.71,2.28,6.66
1984-08-02,22.96,5.19,3.02
1984-08-03,23.32,4.77,1.57
1984-08-04,24.2,4.42,3.75
1984-08-05,23.89,4.88,1.98
1984-08-06,23.61,5.23,3.99
1984-08-07,24.28,5.47,3.44
1984-08-08,24.92,5.73,0.83
1984-08-09,25.67,4.7,3.22
1984-08-10,24.93,4.72,2.91
1984-08-11,24.95,5.56,1.35
1984-08-12,24.48,5.13,0.01
1984-08-13,24.02,5.95,0.0
1984-08-14,25.49,4.96,0.44
1984-08-15,25.79,5.01,5.69
1984-08-16,26.31,5.07,0.28
1984-08-17,25.67,5.47,0.26
1984-08-18,24.46,3.24,2.06
1984-08-19,25.04,3.81,0.09
1984-08-20,24.26,6.11,0.0
1984-08-21,25.37,5.76,0.67
1984-08-22,26.05,4.52,5.96
1984-08-23,23.56,6.27,0.62
1984-08-24,21.42,6.42,0.0
1984-08-25,22.16,6.31,0.11
1984-08-26,24.66,5.78,0.13
1984-08-27,25.0,5.36,10.85
1984-08-28,25.29,3.45,14.88
1984-08-29,25.64,5.38,4.3
1984-08-30,24.13,2.66,6.02
1984-08-31,23.02,6.53,0.15
1984-09-01,24.34,6.54,0.0
1984-09-02,25.18,6.06,0.2
1984-09-03,21.94,1.66,13.84
1984-09-04,18.71,4.53,0.01
1984-09-05,18.59,6.5,0.01
1984-09-06,19.92,5.95,0.04
1984-09-07,20.95,6.08,0.0
1984-09-08,20.74,6.07,0.0
1984-09-09,21.69,3.51,0.46
1984-09-10,23.63,4.49,0.43
1984-09-11,24.74,5.01,0.03
1984-09-12,26.42,5.79,0.0
1984-09-13,27.0,5.75,0.01
1984-09-14,27.2,5.38,0.7
1984-09-15,19.46,3.91,0.02
1984-09-16,15.87,6.0,0.0
1984-09-17,16.99,5.0,0.0
1984-09-18,18.06,5.04,0.02
1984-09-19,19.4,5.71,0.0
1984-09-20,22.19,5.65,0.0
1984-09-21,22.6,5.44,0.0
1984-09-22,22.54,5.28,0.0
1984-09-23,23.91,4.12,0.53
1984-09-24,23.08,3.62,1.12
1984-09-25,24.79,5.08,0.03
1984-09-26,16.4,1.24,0.21
1984-09-27,16.5,2.95,0.13
1984-09-28,14.12,1.25,0.58
1984-09-29,12.8,3.39,0.05
1984-09-30,11.29,1.56,0.63
1984-10-01,11.0,5.17,0.01
1984-10-02,12.57,5.22,0.0
1984-10-03,16.08,5.17,0.01
1984-10-04,19.65,4.31,0.1
1984-10-05,20.94,4.78,0.02
1984-10-06,19.18,1.19,2.78
1984-10-07,19.19,1.18,11.82
1984-10-08,18.04,1.8,12.02
1984-10-09,19.39,2.5,0.54
1984-10-10,20.14,3.27,0.13
1984-10-11,20.78,3.48,0.08
1984-10-12,20.67,4.42,0.01
1984-10-13,21.84,3.61,0.01
1984-10-14,22.32,3.91,0.14
1984-10-15,20.61,2.76,2.61
1984-10-16,21.43,2.75,10.13
1984-10-17,21.31,1.61,11.67
1984-10-18,21.7,3.83,4.13
1984-10-19,20.14,1.54,14.26
1984-10-20,19.47,3.07,18.12
1984-10-21,19.87,1.52,23.33
1984-10-22,16.67,0.75,40.58
1984-10-23,14.08,0.59,11.09
1984-10-24,14.75,1.78,2.59
1984-10-25,19.28,2.75,1.54
1984-10-26,19.38,3.25,1.58
1984-10-27,19.51,1.8,3.81
1984-10-28,20.79,0.81,26.61
1984-10-29,19.02,2.6,0.99
1984-10-30,18.27,2.76,0.17
1984-10-31,18.65,3.88,0.02
1984-11-01,18.9,1.12,11.17
1984-11-02,8.12,2.29,5.23
1984-11-03,11.22,2.8,2.6
1984-11-04,12.4,0.29,4.81
1984-11-05,11.12,2.63,0.53
1984-11-06,5.42,3.74,0.0
1984-11-07,5.56,1.96,0.55
1984-11-08,8.45,1.87,1.54
1984-11-09,11.4,3.14,0.86
1984-11-10,11.53,0.91,29.99
1984-11-11,4.41,0.5,0.25
1984-11-12,1.55,2.49,0.02
1984-11-13,1.77,3.86,0.0
1984-11-14,5.95,3.5,0.24
1984-11-15,8.88,0.35,17.04
1984-11-16,3.61,3.8,0.0
1984-11-17,2.75,3.55,0.44
1984-11-18,10.31,0.36,40.81
1984-11-19,4.09,0.41,9.19
1984-11-20,-1.47,3.5,0.0
1984-11-21,-1.53,2.7,0.0
1984-11-22,-0.64,3.49,0.03
1984-11-23,3.16,3.37,0.03
1984-11-24,6.39,3.49,0.2
1984-11-25,7.0,2.68,0.03
1984-11-26,9.9,2.42,5.48
1984-11-27,11.86,0.39,42.76
1984-11-28,1.94,3.14,7.99
1984-11-29,2.31,3.36,0.0
1984-11-30,5.87,0.54,4.26
1984-12-01,5.29,3.04,0.72
1984-12-02,6.77,1.44,1.61
1984-12-03,1.32,3.06,0.07
1984-12-04,-1.88,1.25,1.23
1984-12-05,-0.05,0.34,7.65
1984-12-06,-6.64,1.85,0.91
1984-12-07,-4.16,3.05,0.0
1984-12-08,0.51,3.25,0.01
1984-12-09,3.73,2.95,0.11
1984-12-10,7.66,2.65,0.4
1984-12-11,5.43,1.68,0.0
1984-12-12,10.39,0.65,0.01
1984-12-13,14.81,1.31,0.01
1984-12-14,14.58,2.67,0.27
1984-12-15,12.98,2.85,0.0
1984-12-16,13.26,2.28,0.01
1984-12-17,15.71,1.11,0.67
1984-12-18,11.9,0.75,4.42
1984-12-19,11.8,0.73,10.99
1984-12-20,8.4,0.41,11.88
1984-12-21,15.29,0.91,10.45
1984-12-22,6.17,2.71,0.0
1984-12-23,3.84,2.73,0.54
1984-12-24,8.28,0.42,16.1
1984-12-25,-1.99,2.66,0.08
1984-12-26,3.34,2.94,0.19
1984-12-27,10.01,1.27,0.09
1984-12-28,14.14,1.93,0.23
1984-12-29,15.39,1.27,1.42
1984-12-30,15.94,0.84,11.2
1984-12-31,16.93,1.78,3.34
1985-01-01,11.42,1.82,8.5
1985-01-02,0.73,0.69,0.6
1985-01-03,1.44,1.38,9.9
1985-01-04,-2.12,1.09,1.64
1985-01-05,-3.42,2.55,0.06
1985-01-06,-0.87,3.06,0.0
1985-01-07,0.92,0.69,0.05
1985-01-08,-0.94,2.16,0.0
1985-01-09,0.3,2.28,0.06
1985-01-10,1.8,0.34,4.28
1985-01-11,-3.09,0.61,0.42
1985-01-12,-4.63,2.89,0.03
1985-01-13,-3.68,3.1,0.0
1985-01-14,-1.89,3.44,0.07
1985-01-15,-6.79,3.7,2.17
1985-01-16,-2.54,1.55,8.4
1985-01-17,-1.37,0.74,1.41
1985-01-18,-0.02,3.06,1.36
1985-01-19,-3.74,1.77,3.17
1985-01-20,-20.06,2.4,1.03
1985-01-21,-13.1,2.15,0.13
1985-01-22,-7.04,2.93,0.75
1985-01-23,-2.75,2.77,0.28
1985-01-24,-0.03,3.33,0.05
1985-01-25,-3.81,2.14,0.01
1985-01-26,-8.97,4.1,0.16
1985-01-27,-4.01,0.87,4.64
1985-01-28,-2.85,0.51,2.03
1985-01-29,-4.15,3.06,1.09
1985-01-30,1.03,1.21,5.91
1985-01-31,-1.0,0.64,19.63
1985-02-01,-7.21,1.15,17.39
1985-02-02,-10.12,3.24,1.7
1985-02-03,-11.73,3.38,0.81
1985-02-04,-6.64,3.55,2.61
1985-02-05,0.34,1.69,8.86
1985-02-06,-5.27,1.06,0.19
1985-02-07,-10.31,3.29,0.0
1985-02-08,-10.66,3.19,0.0
1985-02-09,-5.66,3.51,0.15
1985-02-10,1.32,3.58,0.96
1985-02-11,1.11,0.78,22.42
1985-02-12,-4.31,1.57,3.3
1985-02-13,-4.82,2.96,0.0
1985-02-14,-2.87,3.44,0.12
1985-02-15,-6.5,3.76,0.05
1985-02-16,-2.14,4.11,0.05
1985-02-17,1.87,4.25,0.67
1985-02-18,3.35,1.31,6.81
1985-02-19,2.9,1.27,1.65
1985-02-20,4.78,4.26,0.13
1985-02-21,6.93,4.28,0.05
1985-02-22,11.2,3.5,0.95
1985-02-23,13.76,3.86,1.71
1985-02-24,13.34,1.29,5.12
1985-02-25,8.36,0.9,1.53
1985-02-26,8.83,2.4,0.03
1985-02-27,3.31,4.24,0.0
1985-02-28,3.55,5.35,0.0
1985-03-01,6.31,2.04,0.22
1985-03-02,8.26,3.23,0.01
1985-03-03,10.06,4.27,1.56
1985-03-04,13.86,3.58,6.33
1985-03-05,3.93,5.54,0.0
1985-03-06,1.88,5.44,0.0
1985-03-07,9.46,5.21,0.01
1985-03-08,14.37,2.67,15.19
1985-03-09,9.59,5.08,2.62
1985-03-10,9.61,2.12,0.04
1985-03-11,15.44,1.98,1.59
1985-03-12,7.86,5.52,2.29
1985-03-13,10.36,3.93,0.96
1985-03-14,7.25,1.85,2.91
1985-03-15,5.32,5.83,0.0
1985-03-16,7.31,3.59,0.02
1985-03-17,6.2,5.99,0.02
1985-03-18,2.09,6.29,0.0
1985-03-19,7.14,6.08,0.0
1985-03-20,10.05,4.39,1.04
1985-03-21,10.66,1.13,14.45
1985-03-22,9.32,1.83,6.38
1985-03-23,11.0,3.77,5.93
1985-03-24,7.99,5.34,0.61
1985-03-25,6.8,6.07,0.01
1985-03-26,10.18,6.58,0.0
1985-03-27,13.23,1.89,1.89
1985-03-28,19.62,2.95,0.55
1985-03-29,20.53,3.66,0.44
1985-03-30,20.25,4.44,3.47
1985-03-31,14.29,4.56,9.26
1985-04-01,7.43,6.91,0.0
1985-04-02,6.51,6.57,0.0
1985-04-03,12.82,6.61,0.14
1985-04-04,17.02,6.53,0.06
1985-04-05,15.08,1.53,15.18
1985-04-06,9.89,6.66,0.23
1985-04-07,8.66,4.29,0.64
1985-04-08,5.82,5.3,0.03
1985-04-09,3.83,6.93,0.0
1985-04-10,7.37,6.53,0.04
1985-04-11,13.48,4.83,0.11
1985-04-12,16.21,5.01,0.41
1985-04-13,16.72,4.58,3.47
1985-04-14,16.58,3.88,8.63
1985-04-15,15.12,4.59,10.12
1985-04-16,14.58,5.17,0.28
1985-04-17,18.58,7.23,0.0
1985-04-18,19.68,6.86,0.0
1985-04-19,19.47,6.29,0.0
1985-04-20,20.28,6.79,0.03
1985-04-21,20.82,6.4,0.0
1985-04-22,20.32,7.1,0.04
1985-04-23,19.25,3.25,3.09
1985-04-24,17.96,4.72,8.16
1985-04-25,17.89,7.55,0.0
1985-04-26,18.96,6.25,5.87
1985-04-27,20.24,2.01,12.31
1985-04-28,20.94,4.89,2.08
1985-04-29,18.97,7.08,0.79
1985-04-30,19.48,4.66,3.01
1985-05-01,18.33,2.16,7.22
1985-05-02,18.17,3.95,4.83
1985-05-03,14.44,5.34,0.08
1985-05-04,15.65,7.4,0.0
1985-05-05,18.0,7.28,0.01
1985-05-06,19.76,6.09,2.3
1985-05-07,18.42,4.57,9.05
1985-05-08,16.13,2.48,0.75
1985-05-09,16.41,3.02,0.41
1985-05-10,19.13,3.55,1.02
1985-05-11,20.32,5.93,1.86
1985-05-12,22.06,6.3,2.89
1985-05-13,23.09,7.49,0.45
1985-05-14,23.25,6.4,0.61
1985-05-15,19.98,7.17,0.42
1985-05-16,17.65,6.51,1.2
1985-05-17,14.82,3.37,0.72
1985-05-18,14.46,6.97,0.43
1985-05-19,17.01,8.22,0.26
1985-05-20,19.15,5.73,4.28
1985-05-21,21.69,6.28,7.86
1985-05-22,21.44,3.11,7.71
1985-05-23,16.56,2.23,1.2
1985-05-24,17.0,7.94,0.0
1985-05-25,19.2,7.86,0.0
1985-05-26,20.53,7.91,0.0
1985-05-27,21.77,5.68,11.11
1985-05-28,21.1,5.46,7.41
1985-05-29,21.76,6.8,0.0
1985-05-30,23.61,5.42,0.03
1985-05-31,25.59,4.1,2.28
1985-06-01,24.77,8.06,0.04
1985-06-02,26.07,7.74,4.2
1985-06-03,25.44,7.2,1.05
1985-06-04,26.81,6.97,1.19
1985-06-05,26.56,6.62,2.19
1985-06-06,24.07,3.82,11.49
1985-06-07,23.32,3.99,5.42
1985-06-08,24.32,4.92,0.18
1985-06-09,26.47,7.4,0.9
1985-06-10,26.08,5.84,11.13
1985-06-11,23.72,4.85,15.34
1985-06-12,16.42,6.12,1.62
1985-06-13,15.69,6.98,0.07
1985-06-14,19.01,8.46,0.0
1985-06-15,21.79,6.79,3.18
1985-06-16,24.12,6.6,5.43
1985-06-17,24.93,3.97,11.29
1985-06-18,22.09,4.58,3.91
1985-06-19,19.73,5.64,0.1
1985-06-20,20.59,7.97,0.09
1985-06-21,22.48,7.39,0.0
1985-06-22,23.82,4.05,4.77
1985-06-23,25.53,6.93,2.48
1985-06-24,26.9,6.82,1.4
1985-06-25,26.22,5.19,4.27
1985-06-26,26.56,6.89,0.35
1985-06-27,26.67,5.72,0.28
1985-06-28,22.83,3.97,0.34
1985-06-29,22.18,5.91,1.42
1985-06-30,22.76,5.48,6.04
1985-07-01,20.74,4.99,3.62
1985-07-02,22.08,6.38,0.17
1985-07-03,24.76,6.19,3.36
1985-07-04,22.78,5.21,8.24
1985-07-05,23.09,6.43,8.82
1985-07-06,22.29,5.33,0.62
1985-07-07,25.02,6.94,0.08
1985-07-08,26.55,7.35,0.0
1985-07-09,27.08,6.65,3.42
1985-07-10,27.11,6.97,5.45
1985-07-11,27.87,7.06,0.56
1985-07-12,28.25,6.59,0.37
1985-07-13,28.68,5.42,1.05
1985-07-14,28.48,6.88,3.15
1985-07-15,28.51,5.07,2.1
1985-07-16,26.76,6.46,0.45
1985-07-17,24.97,7.79,0.03
1985-07-18,26.84,6.36,1.24
1985-07-19,28.69,6.62,0.0
1985-07-20,29.33,6.59,0.08
1985-07-21,28.78,6.45,2.41
1985-07-22,27.79,5.35,6.07
1985-07-23,25.53,4.51,1.37
1985-07-24,25.19,5.56,0.89
1985-07-25,26.11,4.98,6.12
1985-07-26,25.29,1.97,14.02
1985-07-27,24.42,2.55,5.08
1985-07-28,25.98,5.31,1.21
1985-07-29,26.49,4.79,1.73
1985-07-30,27.2,5.62,3.73
1985-07-31,28.63,5.34,2.97
1985-08-01,26.4,5.79,1.98
1985-08-02,24.87,6.85,0.02
1985-08-03,25.56,5.46,0.24
1985-08-04,24.52,5.56,2.92
1985-08-05,21.76,3.06,7.18
1985-08-06,22.72,3.15,9.62
1985-08-07,23.62,3.79,12.81
1985-08-08,25.59,5.88,0.81
1985-08-09,27.37,6.16,0.28
1985-08-10,28.15,6.37,0.01
1985-08-11,28.24,6.05,0.11
1985-08-12,28.41,6.12,0.55
1985-08-13,28.68,6.38,0.1
1985-08-14,27.48,6.01,0.52
1985-08-15,26.02,4.8,13.88
1985-08-16,23.35,1.37,41.85
1985-08-17,24.17,3.42,5.96
1985-08-18,25.16,6.28,1.17
1985-08-19,26.24,5.69,2.78
1985-08-20,24.71,4.06,1.68
1985-08-21,22.55,5.6,0.11
1985-08-22,22.56,6.16,0.17
1985-08-23,22.25,2.56,7.4
1985-08-24,23.24,1.51,14.08
1985-08-25,21.17,2.75,6.17
1985-08-26,21.92,5.16,0.46
1985-08-27,22.4,4.87,0.28
1985-08-28,24.5,6.14,0.12
1985-08-29,24.89,6.11,6.27
1985-08-30,25.39,5.15,10.0
1985-08-31,24.85,6.32,0.05
1985-09-01,24.27,6.48,0.0
1985-09-02,25.06,6.04,0.0
1985-09-03,25.25,5.52,0.24
1985-09-04,25.06,5.66,0.38
1985-09-05,24.49,3.48,0.82
1985-09-06,25.99,5.36,0.08
1985-09-07,27.69,5.92,0.14
1985-09-08,27.61,5.42,1.62
1985-09-09,26.27,5.66,3.12
1985-09-10,25.87,4.74,3.79
1985-09-11,24.21,4.79,0.06
1985-09-12,20.91,6.24,0.0
1985-09-13,17.36,5.65,0.0
1985-09-14,15.81,4.73,0.0
1985-09-15,16.15,5.39,0.0
1985-09-16,18.67,5.26,0.0
1985-09-17,19.58,5.9,0.0
1985-09-18,20.91,5.49,0.0
1985-09-19,21.39,5.95,0.04
1985-09-20,22.3,5.23,0.0
1985-09-21,21.94,4.92,0.01
1985-09-22,22.09,4.89,3.95
1985-09-23,21.96,1.37,7.38
1985-09-24,15.53,5.34,3.72
1985-09-25,18.92,5.17,9.6
1985-09-26,16.28,4.8,25.51
1985-09-27,13.02,4.96,0.01
1985-09-28,14.93,5.34,0.0
1985-09-29,16.95,5.15,0.04
1985-09-30,17.57,3.09,18.1
1985-10-01,9.6,1.26,17.06
1985-10-02,11.95,2.44,0.2
1985-10-03,14.23,1.62,0.56
1985-10-04,16.6,5.12,0.13
1985-10-05,11.7,4.35,0.0
1985-10-06,11.36,5.12,0.0
1985-10-07,13.32,5.11,0.0
1985-10-08,15.3,5.07,0.0
1985-10-09,18.82,3.22,0.0
1985-10-10,20.14,4.3,0.0
1985-10-11,21.55,4.57,0.0
1985-10-12,20.89,4.26,0.49
1985-10-13,21.29,3.91,1.81
1985-10-14,22.17,2.93,6.17
1985-10-15,19.65,1.91,2.09
1985-10-16,16.24,4.75,0.0
1985-10-17,18.38,2.99,0.02
1985-10-18,21.58,3.93,0.13
1985-10-19,21.26,2.55,1.59
1985-10-20,20.77,1.5,4.63
1985-10-21,18.73,1.78,1.53
1985-10-22,17.76,1.13,3.94
1985-10-23,19.3,0.81,6.56
1985-10-24,20.74,2.46,1.41
1985-10-25,17.07,3.26,0.09
1985-10-26,16.85,3.41,0.54
1985-10-27,17.07,1.18,1.19
1985-10-28,18.17,1.51,0.15
1985-10-29,13.29,1.75,2.79
1985-10-30,12.27,1.46,10.3
1985-10-31,15.55,1.19,2.26
1985-11-01,16.67,0.61,9.48
1985-11-02,11.58,0.55,8.92
1985-11-03,8.71,1.49,4.14
1985-11-04,6.27,2.74,3.31
1985-11-05,5.39,3.13,0.28
1985-11-06,8.82,4.12,0.0
1985-11-07,7.55,1.42,2.87
1985-11-08,7.51,4.1,0.0
1985-11-09,10.93,3.97,0.0
1985-11-10,14.43,3.33,0.03
1985-11-11,17.0,2.38,1.67
1985-11-12,17.58,2.22,0.15
1985-11-13,18.03,2.37,0.1
1985-11-14,17.25,1.79,0.14
1985-11-15,18.17,1.91,6.36
1985-11-16,14.79,0.81,10.8
1985-11-17,13.73,0.92,3.1
1985-11-18,18.1,3.08,1.39
1985-11-19,18.73,2.2,0.08
1985-11-20,8.85,0.86,1.79
1985-11-21,8.07,1.63,0.82
1985-11-22,8.58,2.18,2.22
1985-11-23,8.66,3.25,0.07
1985-11-24,11.27,0.86,1.75
1985-11-25,14.28,2.03,1.85
1985-11-26,18.02,1.08,12.63
1985-11-27,18.75,1.49,22.35
1985-11-28,11.68,0.52,12.86
1985-11-29,8.57,1.36,0.93
1985-11-30,10.13,2.73,0.02
1985-12-01,10.03,0.85,9.42
1985-12-02,-4.03,3.14,0.0
1985-12-03,-2.59,3.16,0.02
1985-12-04,2.93,0.86,0.47
1985-12-05,3.96,2.06,2.36
1985-12-06,-1.52,2.91,0.0
1985-12-07,1.06,2.72,0.0
1985-12-08,5.16,2.02,0.04
1985-12-09,8.09,3.35,0.23
1985-12-10,10.33,2.55,3.3
1985-12-11,12.14,1.21,5.58
1985-12-12,5.06,0.58,2.45
1985-12-13,0.49,1.03,5.64
1985-12-14,-6.55,3.16,0.01
1985-12-15,-2.61,2.27,0.0
1985-12-16,-0.12,3.5,0.0
1985-12-17,0.42,3.38,0.02
1985-12-18,-6.61,2.03,0.12
1985-12-19,-5.98,3.14,0.57
1985-12-20,-3.95,1.23,1.08
1985-12-21,-6.55,2.82,0.0
1985-12-22,0.57,3.35,0.06
1985-12-23,1.8,2.69,0.38
1985-12-24,-1.21,1.06,0.28
1985-12-25,-10.11,1.94,0.03
1985-12-26,-5.49,2.9,0.0
1985-12-27,0.03,3.02,0.0
1985-12-28,-1.08,2.9,0.0
